l2C	N4C	N8C	N16C	eB	category
Bcap31	0.195121951219512	0.165368289637953	0.75015082046332	0.424066754501537	0.427568922305765	Mid
Smc1a	0.333333333333333	0.273690476190476	0.569978632478633	0.0789473684210528	0.13960113960114	Mid
Map7d2	0.75	0.593446065428824	0.45952380952381	0	0	Mid
Ofd1	0.361638361638362	0.483619929453263	1	0	0.198412698412698	Mid
Gpkow	0.441568865989218	0.482577815506508	0.640995475113122	0.547212918660287	0.148148148148148	Late
Wdr45	0.386386386386386	0.418264498264498	0.544321077245606	0.341695212999561	0.204545454545455	Late
Pcsk1n	0.67047619047619	0.157386363636364	0.428571428571429	1	0	Late
Gata1	0.603553921568627	0.557459935897436	0.660589415756372	0.432234432234432	0.28968253968254	Late
Tbc1d25	0.671296296296296	0.306467661691542	0.323529411764706	1	0.277777777777778	Late
Ebp	0.529411764705882	0.383333333333333	0.436698332531666	0.382783882783883	0.179864253393665	Late
Ftsj1	0.384615384615385	0.264761904761905	0.487619047619048	0.717598577892695	0.224896019013666	Late
Ocrl	0	0.157894736842106	0.5325	0.304273504273504	0.115757575757576	Late
Utp14a	0.737558356676004	0.484469830592725	0.323339719029374	0.501691408007197	0.261056964882188	Late
Ids	0	0.23028083028083	0.456140350877193	0.50376510884234	0.0811688311688311	Late
Hmgn5	0.501080093054171	0.608791208791209	1	0.592592592592593	0.0572104018912529	Late
Acsl4	0.481072876247623	0.466348934170217	0.680802714571513	0.47487308099152	0.196428571428572	Late
Kdm5c	0.267721861471862	0.229739010989011	0.590010221260221	0.4117738791423	0.293896843896844	Late
Prdx4	0.517241379310345	0.45	0.476190476190476	0.553977272727272	0	Late
Sms	0.0758553754600266	0.509056000015768	0.747922913680172	0.526518518518519	0.34517360678651	Late
Syap1	0.251539129853306	0.379909357805699	0.667412227896099	0.316160735515574	0.0405844155844156	Late
Siah1b	0.0339456306405459	0.308058058058058	0.389583333333334	0.424242424242424	0.162337662337663	Late
Clcn5	0.0354609929078013	0.0546875	0	0.0277777777777778	0.162892078681552	Constitutive
Usp9x	0.0216035876548123	0.188022080953258	0.256653099056116	0.524782349433512	0.299111382444716	Constitutive
Ddx3x	0.170396901213292	0.261325715189806	0.38716291622646	0.291837923940986	0.222371016147336	Constitutive
Rbmx2	0.414786967418547	0.0161290322580645	0.39367816091954	0.176470588235294	0	Constitutive
Hprt	0.135509355509355	0.202459869320443	0.383856673536517	0.171839047307016	0.129019846706568	Constitutive
Mospd1	0.278839304538651	0.128749578699023	0.350625763125763	0	0.0666666666666667	Constitutive
Htatsf1	0.0985888634630055	0.088888888888889	0.0656130268199234	0.453823953823954	0.137820512820513	Constitutive
Atp11c	0.0270833333333333	0.291666666666667	0.0416666666666667	0.0576923076923078	0	Constitutive
Fmr1	0.384672465477419	0.110294117647059	0.287121212121212	0.808943089430894	0.321110262286733	Constitutive
Irak1	0.542016806722689	0	0.219576719576719	0	0.0941558441558442	Constitutive
Brcc3	NA	0	0	0	0.0625	Constitutive
Vbp1	0.322222222222222	0	0.404667795972144	0.242063492063492	0.229984546346103	Constitutive
Tab3	0.0416895073441562	0.0756944444444445	0.155518394648829	0	0.0568181818181817	Constitutive
Gyk	0.00711816984858459	0.0172413793103448	0	0	0	Constitutive
Pola1	0.133928571428571	0.145412544078101	0.344261643528885	0.354023943177913	0.33767825311943	Constitutive
AU015836	0.0276484796817278	0	0	0.233974358974359	0.5	Constitutive
Pdzd11	NA	0	0	0.1	0.107142857142857	Constitutive
Kif4	0.263054188948307	0.318053801723432	0.245878274268105	0.192643356643357	0.207575757575757	Constitutive
Rlim	0.240598236363416	0.2904490285274	0.085097409334803	0.088906305453685	0.0682382721889092	Constitutive
Atrx	0.22448387821106	0.223201716821868	0.237216417986281	0.31874832688304	0.123305054576838	Constitutive
Brwd3	0.181220970602414	0.26110811846106	0.411991769554575	0	0.11377990430622	Constitutive
Gprasp1	0.1	0	0	0.3	0.0982142857142858	Constitutive
